GeoType,CDTAType,GeogName,GeoID,Borough,Pop_1E,Pop_1M,Pop_1C,Pop_1P,Pop_1Z,MaleE,MaleM,MaleC,MaleP,MaleZ,FemE,FemM,FemC,FemP,FemZ,PopU181E,PopU181M,PopU181C,PopU181P,PopU181Z,Pop65pl1E,Pop65pl1M,Pop65pl1C,Pop65pl1P,Pop65pl1Z,MdAgeE,MdAgeM,MdAgeC,Pop_2E,Pop_2M,Pop_2C,Pop_2P,Pop_2Z,Hsp1E,Hsp1M,Hsp1C,Hsp1P,Hsp1Z,NHspE,NHspM,NHspC,NHspP,NHspZ,WtNHE,WtNHM,WtNHC,WtNHP,WtNHZ,BlNHE,BlNHM,BlNHC,BlNHP,BlNHZ,AIANNHE,AIANNHM,AIANNHC,AIANNHP,AIANNHZ,AsnNHE,AsnNHM,AsnNHC,AsnNHP,AsnNHZ,NHPINHE,NHPINHM,NHPINHC,NHPINHP,NHPINHZ,OthNHE,OthNHM,OthNHC,OthNHP,OthNHZ,Rc2plNHE,Rc2plNHM,Rc2plNHC,Rc2plNHP,Rc2plNHZ
CDTA2020,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),301,Brooklyn,"203,002","5,193",1.6,100.0,0.0,"99,015","3,175",1.9,48.8,0.9,"103,987","3,190",1.9,51.2,0.9,"47,973","3,116",3.9,23.6,1.4,"18,616","1,265",4.1,9.2,0.6,31.9,0.3,0.5,"203,002","5,193",1.6,100.0,0.0,"47,699","3,019",3.8,23.5,1.4,"155,303","4,806",1.9,76.5,1.3,"119,737","4,577",2.3,59.0,1.7,"12,659","1,912",9.2,6.2,0.9,133,137,62.4,0.1,0.1,"13,239","1,523",7.0,6.5,0.7,54,81,91.2,0.0,0.0,"1,538",557,22.0,0.8,0.3,"7,943","1,132",8.7,3.9,0.5
CDTA2020,CD,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),302,Brooklyn,"125,637","3,164",1.5,100.0,0.0,"56,635","1,905",2.0,45.1,1.0,"69,002","2,125",1.9,54.9,1.0,"19,820","1,334",4.1,15.8,1.0,"15,726",968,3.7,12.5,0.7,35.3,0.4,0.8,"125,637","3,164",1.5,100.0,0.0,"16,719","1,577",5.7,13.3,1.2,"108,918","2,901",1.6,86.7,0.8,"61,280","2,249",2.2,48.8,1.3,"23,544","1,616",4.2,18.7,1.2,164,94,35.0,0.1,0.1,"15,010","1,232",5.0,11.9,0.9,19,29,91.7,0.0,0.0,663,282,25.9,0.5,0.2,"8,238","1,161",8.6,6.6,0.9
CDTA2020,CD,BK03 Bedford-Stuyvesant (CD 3 Approximation),303,Brooklyn,"180,283","4,883",1.6,100.0,0.0,"83,422","2,802",2.0,46.3,0.9,"96,861","3,102",1.9,53.7,0.9,"40,678","2,520",3.8,22.6,1.3,"18,495","1,286",4.2,10.3,0.7,33.4,0.3,0.6,"180,283","4,883",1.6,100.0,0.0,"33,757","2,322",4.2,18.7,1.2,"146,526","4,656",1.9,81.3,1.4,"49,869","2,846",3.5,27.7,1.4,"78,258","3,837",3.0,43.4,1.8,143,106,45.2,0.1,0.1,"7,588","1,165",9.3,4.2,0.6,142,125,53.7,0.1,0.1,670,260,23.6,0.4,0.1,"9,856","1,462",9.0,5.5,0.8
CDTA2020,CD,BK04 Bushwick (CD 4 Equivalent),304,Brooklyn,"111,975","3,839",2.1,100.0,0.0,"54,463","2,384",2.7,48.6,1.3,"57,512","2,342",2.5,51.4,1.1,"16,658","1,583",5.8,14.9,1.3,"11,614","1,059",5.5,10.4,0.9,32.8,0.4,0.7,"111,975","3,839",2.1,100.0,0.0,"54,624","3,406",3.8,48.8,2.5,"57,351","2,578",2.7,51.2,1.5,"27,062","1,621",3.6,24.2,1.2,"18,717","1,859",6.0,16.7,1.6,131,145,67.3,0.1,0.1,"6,538",877,8.2,5.8,0.8,1,3,182.4,0.0,0.0,"1,177",607,31.3,1.1,0.5,"3,725",667,10.9,3.3,0.6
CDTA2020,CD,BK05 East New York-Cypress Hills (CD 5 Approximation),305,Brooklyn,"201,036","5,602",1.7,100.0,0.0,"93,151","3,456",2.3,46.3,1.1,"107,885","3,475",2.0,53.7,0.9,"49,466","2,790",3.4,24.6,1.2,"29,399","1,642",3.4,14.6,0.7,36.6,0.6,0.9,"201,036","5,602",1.7,100.0,0.0,"70,092","3,822",3.3,34.9,1.6,"130,944","4,758",2.2,65.1,1.5,"6,469",910,8.6,3.2,0.4,"100,580","4,437",2.7,50.0,1.7,351,268,46.5,0.2,0.1,"12,695","1,803",8.6,6.3,0.9,303,207,41.5,0.2,0.1,"3,798","1,025",16.4,1.9,0.5,"6,748","1,235",11.1,3.4,0.6
CDTA2020,CD,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),306,Brooklyn,"121,009","3,508",1.8,100.0,0.0,"58,480","2,065",2.1,48.3,1.0,"62,529","2,355",2.3,51.7,1.2,"26,197","1,533",3.6,21.6,1.1,"14,761","1,024",4.2,12.2,0.8,37.4,0.4,0.7,"121,009","3,508",1.8,100.0,0.0,"18,215","1,771",5.9,15.1,1.4,"102,794","3,277",1.9,84.9,1.1,"74,478","2,860",2.3,61.5,1.6,"11,069","1,560",8.6,9.1,1.3,51,51,60.7,0.0,0.0,"9,096",997,6.7,7.5,0.8,10,14,84.5,0.0,0.0,971,345,21.6,0.8,0.3,"7,119",858,7.3,5.9,0.7
CDTA2020,CD,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),307,Brooklyn,"120,253","3,875",2.0,100.0,0.0,"60,904","2,191",2.2,50.6,0.8,"59,349","2,299",2.4,49.4,1.1,"28,580","1,746",3.7,23.8,1.2,"15,286","1,055",4.2,12.7,0.8,37.5,0.5,0.9,"120,253","3,875",2.0,100.0,0.0,"47,767","3,090",3.9,39.7,2.2,"72,486","2,844",2.4,60.3,1.3,"34,346","1,959",3.5,28.6,1.3,"3,863",727,11.4,3.2,0.6,316,244,46.9,0.3,0.2,"30,332","2,084",4.2,25.2,1.5,11,21,116.1,0.0,0.0,465,209,27.4,0.4,0.2,"3,153",631,12.2,2.6,0.5
CDTA2020,CD,BK08 Crown Heights (North) (CD 8 Approximation),308,Brooklyn,"109,719","3,384",1.9,100.0,0.0,"48,742","1,984",2.5,44.4,1.2,"60,977","2,247",2.2,55.6,1.1,"19,669","1,591",4.9,17.9,1.3,"13,812","1,160",5.1,12.6,1.0,35.5,0.6,1.0,"109,719","3,384",1.9,100.0,0.0,"14,356","1,539",6.5,13.1,1.3,"95,363","3,400",2.2,86.9,1.6,"32,845","2,004",3.7,29.9,1.6,"49,461","2,828",3.5,45.1,2.2,106,120,69.1,0.1,0.1,"5,001",689,8.4,4.6,0.6,35,35,60.8,0.0,0.0,"1,735",798,28.0,1.6,0.7,"6,180","1,070",10.5,5.6,1.0
CDTA2020,CD,BK09 Crown Heights (South) (CD 9 Approximation),309,Brooklyn,"97,675","3,659",2.3,100.0,0.0,"45,693","2,151",2.9,46.8,1.3,"51,982","2,418",2.8,53.2,1.5,"19,325","1,650",5.2,19.8,1.5,"15,988","1,102",4.2,16.4,0.9,37.4,0.7,1.2,"97,675","3,659",2.3,100.0,0.0,"10,438","1,435",8.4,10.7,1.4,"87,237","3,571",2.5,89.3,1.5,"26,769","2,401",5.5,27.4,2.2,"52,707","3,000",3.5,54.0,2.3,41,45,66.4,0.0,0.0,"2,026",509,15.3,2.1,0.5,6,15,152.0,0.0,0.0,"1,189",531,27.2,1.2,0.5,"4,499",876,11.8,4.6,0.9
CDTA2020,CD,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),310,Brooklyn,"125,053","3,238",1.6,100.0,0.0,"61,991","2,077",2.0,49.6,1.1,"63,062","1,824",1.8,50.4,0.7,"25,622","1,372",3.3,20.5,1.0,"23,943","1,111",2.8,19.1,0.7,41.8,0.7,1.0,"125,053","3,238",1.6,100.0,0.0,"22,518","1,748",4.7,18.0,1.3,"102,535","3,029",1.8,82.0,1.2,"65,796","2,546",2.4,52.6,1.5,"2,708",649,14.6,2.2,0.5,239,162,41.3,0.2,0.1,"30,003","1,918",3.9,24.0,1.4,13,23,106.0,0.0,0.0,674,258,23.2,0.5,0.2,"3,102",536,10.5,2.5,0.4
