GeoType,CDTAType,GeogName,GeoID,Borough,Pop16plE,MdHHIncE,MdHHIncM,MdHHIncC,MnHHIncE,MnHHIncM,MnHHIncC,Fam2E,Fam2M,Fam2C,Fam2P,Fam2Z,MdFamIncE,MdFamIncM,MdFamIncC,Nfam2E,Nfam2M,Nfam2C,Nfam2P,Nfam2Z,MdNFIncE,MdNFIncM,MdNFIncC,MdNFIncP,MdNFIncZ,PerCapIncE,PerCapIncM,PerCapIncC,FamPvUE,FamPvUM,FamPvUC,FamPvUP,FamPvUZ,FamBwPvE,FamBwPvM,FamBwPvC,FamBwPvP,FamBwPvZ,PopPvU1E,PopPvU1M,PopPvU1C,PopPvU1P,PopPvU1Z,PBwPvE,PBwPvM,PBwPvC,PBwPvP,PBwPvZ,PU18PvUE,PU18PvUM,PU18PvUC,PU18PvUP,PU18PvUZ,PU18BwPvE,PU18BwPvM,PU18BwPvC,PU18BwPvP,PU18BwPvZ,P65plPvUE,P65plPvUM,P65plPvUC,P65plPvUP,P65plPvUZ,P65plBwPvE,P65plBwPvM,P65plBwPvC,P65plBwPvP,P65plBwPvZ,PopPvU2E,PopPvU2M,PopPvU2C,PopPvU2P,PopPvU2Z,PvU50E,PvU50M,PvU50C,PvU50P,PvU50Z,Pv50t74E,Pv50t74M,Pv50t74C,Pv50t74P,Pv50t74Z,Pv75t99E,Pv75t99M,Pv75t99C,Pv75t99P,Pv75t99Z,Pv100t124E,Pv100t124M,Pv100t124C,Pv100t124P,Pv100t124Z,Pv125t149E,Pv125t149M,Pv125t149C,Pv125t149P,Pv125t149Z,Pv150t174E,Pv150t174M,Pv150t174C,Pv150t174P,Pv150t174Z,Pv175t184E,Pv175t184M,Pv175t184C,Pv175t184P,Pv175t184Z,Pv185t199E,Pv185t199M,Pv185t199C,Pv185t199P,Pv185t199Z,Pv200t299E,Pv200t299M,Pv200t299C,Pv200t299P,Pv200t299Z,Pv300t399E,Pv300t399M,Pv300t399C,Pv300t399P,Pv300t399Z,Pv400t499E,Pv400t499M,Pv400t499C,Pv400t499P,Pv400t499Z,Pv500plE,Pv500plM,Pv500plC,Pv500plP,Pv500plZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDTA2020,CD,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),301,Brooklyn,"128,021","39,636","1,931",3.0,"56,931","1,998",2.1,"33,032",862,1.6,100,0,"36,394","2,210",3.7,"29,864",905,1.8,100,0,"42,776","3,315",4.7,,,"22,082",845,2.3,"33,032",862,1.6,100,0,"9,521",584,3.7,28.8,1.6,"166,088","3,249",1.2,100,0,"51,856","2,795",3.3,31.2,1.6,"42,806","1,635",2.3,100,0,"21,006","1,099",3.2,49.1,1.8,"14,213",786,3.4,100,0,"4,592",467,6.2,32.3,2.8,"166,088","3,249",1.2,100,0,"23,412","1,347",3.5,14.1,0.8,"13,393","1,077",4.9,8.1,0.6,"15,051","1,100",4.4,9.1,0.6,"11,496",928,4.9,6.9,0.5,"11,274",991,5.3,6.8,0.6,"8,711",921,6.4,5.2,0.5,"3,251",507,9.5,2.0,0.3,"4,235",611,8.8,2.5,0.4,"22,876","1,293",3.4,13.8,0.7,"15,511","1,044",4.1,9.3,0.6,"11,081",909,5.0,6.7,0.5,"25,797","1,275",3.0,15.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDTA2020,CD,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),302,Brooklyn,"83,287","70,217","3,560",3.1,"111,473","5,628",3.1,"18,884",738,2.4,100,0,"92,368","8,518",5.6,"24,439",794,2.0,100,0,"56,768","4,585",4.9,,,"51,110","2,801",3.3,"18,884",738,2.4,100,0,"2,310",325,8.5,12.2,1.7,"92,293","2,461",1.6,100,0,"16,649","1,623",5.9,18.0,1.7,"14,668",913,3.8,100,0,"3,618",516,8.7,24.7,3.2,"8,949",612,4.2,100,0,"1,395",266,11.6,15.6,2.8,"92,293","2,461",1.6,100,0,"9,976",948,5.8,10.8,1.0,"2,807",456,9.9,3.0,0.5,"3,866",490,7.7,4.2,0.5,"2,413",385,9.7,2.6,0.4,"2,247",345,9.3,2.4,0.4,"2,547",386,9.2,2.8,0.4,"1,423",336,14.4,1.5,0.4,"1,211",275,13.8,1.3,0.3,"8,813",712,4.9,9.5,0.7,"8,304",734,5.4,9.0,0.8,"8,602",764,5.4,9.3,0.8,"40,085","1,510",2.3,43.4,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDTA2020,CD,BK03 Bedford-Stuyvesant (CD 3 Approximation),303,Brooklyn,"111,501","35,598","2,180",3.7,"48,808","1,751",2.2,"32,785",866,1.6,100,0,"39,720","2,275",3.5,"22,463",842,2.3,100,0,"26,371","2,672",6.2,,,"19,141",759,2.4,"32,785",866,1.6,100,0,"8,935",603,4.1,27.3,1.7,"145,030","3,198",1.3,100,0,"45,374","2,660",3.6,31.3,1.7,"38,813","1,507",2.4,100,0,"17,587","1,046",3.6,45.3,2.0,"14,134",839,3.6,100,0,"3,944",538,8.3,27.9,3.4,"145,030","3,198",1.3,100,0,"24,306","1,323",3.3,16.8,0.8,"10,297",859,5.1,7.1,0.6,"10,771",873,4.9,7.4,0.6,"6,891",646,5.7,4.8,0.4,"8,218",727,5.4,5.7,0.5,"6,985",682,5.9,4.8,0.5,"2,844",401,8.6,2.0,0.3,"4,175",558,8.1,2.9,0.4,"21,991","1,202",3.3,15.2,0.8,"15,914","1,002",3.8,11.0,0.6,"12,110",900,4.5,8.3,0.6,"20,528","1,149",3.4,14.2,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDTA2020,CD,BK04 Bushwick (CD 4 Equivalent),304,Brooklyn,"84,846","34,437","2,001",3.5,"44,010","1,788",2.5,"24,774",728,1.8,100,0,"35,915","2,506",4.2,"11,094",629,3.4,100,0,"23,978","3,502",8.9,,,"14,642",665,2.8,"24,774",728,1.8,100,0,"7,249",557,4.7,29.3,2.1,"111,095","2,917",1.6,100,0,"33,573","2,214",4.0,30.2,1.8,"30,009","1,342",2.7,100,0,"12,457",876,4.3,41.5,2.3,"7,768",580,4.5,100,0,"2,649",348,8.0,34.1,3.7,"111,095","2,917",1.6,100,0,"15,425","1,050",4.1,13.9,0.9,"6,725",690,6.2,6.1,0.6,"11,423",933,5.0,10.3,0.8,"7,892",818,6.3,7.1,0.7,"7,821",791,6.1,7.0,0.7,"7,987",818,6.2,7.2,0.7,"3,433",574,10.2,3.1,0.5,"3,128",491,9.5,2.8,0.4,"19,369","1,285",4.0,17.4,1.1,"12,490",960,4.7,11.2,0.8,"7,665",777,6.2,6.9,0.7,"7,737",730,5.7,7.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDTA2020,CD,BK05 East New York-Cypress Hills (CD 5 Approximation),305,Brooklyn,"135,496","33,357","1,595",2.9,"44,325","1,487",2.0,"44,758",906,1.2,100,0,"37,647","1,959",3.2,"16,109",787,3.0,100,0,"18,323","1,884",6.2,,,"15,333",567,2.2,"44,758",906,1.2,100,0,"12,266",736,3.6,27.4,1.5,"181,165","3,586",1.2,100,0,"53,992","3,072",3.5,29.8,1.6,"53,005","1,786",2.0,100,0,"21,346","1,161",3.3,40.3,1.7,"16,094",830,3.1,100,0,"4,823",460,5.8,30.0,2.4,"181,165","3,586",1.2,100,0,"29,006","1,548",3.2,16.0,0.8,"12,366",982,4.8,6.8,0.5,"12,620",966,4.7,7.0,0.5,"11,848",957,4.9,6.5,0.5,"11,343",929,5.0,6.3,0.5,"9,732",861,5.4,5.4,0.5,"3,207",521,9.9,1.8,0.3,"5,455",647,7.2,3.0,0.4,"34,115","1,610",2.9,18.8,0.8,"21,082","1,241",3.6,11.6,0.6,"12,238",933,4.6,6.8,0.5,"18,153","1,115",3.7,10.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDTA2020,CD,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),306,Brooklyn,"93,886","81,832","4,025",3.0,"115,308","4,129",2.2,"25,105",773,1.9,100,0,"100,161","6,921",4.2,"24,103",810,2.0,100,0,"66,984","5,298",4.8,,,"50,913","2,098",2.5,"25,105",773,1.9,100,0,"2,461",324,8.0,9.8,1.3,"112,304","2,685",1.5,100,0,"13,319","1,463",6.7,11.9,1.3,"21,192","1,082",3.1,100,0,"3,075",445,8.8,14.5,2.0,"9,494",755,4.8,100,0,"2,054",446,13.2,21.6,4.4,"112,304","2,685",1.5,100,0,"5,460",626,7.0,4.9,0.5,"3,478",516,9.0,3.1,0.5,"4,380",571,7.9,3.9,0.5,"3,209",473,9.0,2.9,0.4,"2,617",416,9.7,2.3,0.4,"3,152",454,8.8,2.8,0.4,"1,513",346,13.9,1.3,0.3,"2,066",417,12.3,1.8,0.4,"11,681",968,5.0,10.4,0.8,"10,259",823,4.9,9.1,0.7,"10,111",846,5.1,9.0,0.7,"54,378","1,762",2.0,48.4,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDTA2020,CD,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),307,Brooklyn,"102,497","45,570","2,836",3.8,"62,811","2,209",2.1,"28,351",692,1.5,100,0,"46,084","3,836",5.1,"13,792",640,2.8,100,0,"37,988","3,927",6.3,,,"21,374",857,2.4,"28,351",692,1.5,100,0,"5,699",499,5.3,20.1,1.7,"124,723","2,644",1.3,100,0,"28,343","2,069",4.4,22.7,1.6,"29,236","1,278",2.7,100,0,"8,977",743,5.0,30.7,2.2,"10,775",665,3.8,100,0,"3,081",378,7.5,28.6,3.0,"124,723","2,644",1.3,100,0,"10,705",899,5.1,8.6,0.7,"8,007",784,6.0,6.4,0.6,"9,631",830,5.2,7.7,0.6,"8,582",820,5.8,6.9,0.6,"9,574",867,5.5,7.7,0.7,"7,315",745,6.2,5.9,0.6,"3,462",535,9.4,2.8,0.4,"4,011",549,8.3,3.2,0.4,"17,110","1,099",3.9,13.7,0.8,"12,560",942,4.6,10.1,0.7,"10,520",850,4.9,8.4,0.7,"23,246","1,169",3.1,18.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDTA2020,CD,BK08 Crown Heights (North) (CD 8 Approximation),308,Brooklyn,"77,058","39,724","2,217",3.4,"58,249","2,789",2.9,"21,737",782,2.2,100,0,"42,446","3,157",4.5,"18,606",769,2.5,100,0,"35,111","3,680",6.4,,,"25,245","1,290",3.1,"21,737",782,2.2,100,0,"4,856",501,6.3,22.3,2.2,"94,600","2,412",1.5,100,0,"23,320","1,804",4.7,24.7,1.8,"20,681","1,182",3.5,100,0,"7,551",710,5.7,36.5,2.7,"9,130",628,4.2,100,0,"2,527",348,8.4,27.7,3.3,"94,600","2,412",1.5,100,0,"13,493",997,4.5,14.3,1.0,"4,470",563,7.7,4.7,0.6,"5,358",620,7.0,5.7,0.6,"4,556",559,7.5,4.8,0.6,"5,026",620,7.5,5.3,0.6,"5,114",753,8.9,5.4,0.8,"1,604",333,12.6,1.7,0.3,"2,421",445,11.2,2.6,0.5,"14,491","1,027",4.3,15.3,1.0,"11,178",893,4.9,11.8,0.9,"7,559",700,5.6,8.0,0.7,"19,330","1,100",3.5,20.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDTA2020,CD,BK09 Crown Heights (South) (CD 9 Approximation),309,Brooklyn,"76,968","39,029","1,989",3.1,"51,722","1,957",2.3,"22,981",699,1.8,100,0,"45,185","2,903",3.9,"13,657",660,2.9,100,0,"28,937","2,604",5.5,,,"20,225",878,2.6,"22,981",699,1.8,100,0,"4,295",434,6.2,18.7,1.8,"95,972","2,411",1.5,100,0,"20,780","1,758",5.1,21.7,1.7,"22,231","1,139",3.1,100,0,"6,680",630,5.7,30.0,2.4,"10,261",652,3.9,100,0,"2,137",317,9.0,20.8,2.8,"95,972","2,411",1.5,100,0,"10,024",853,5.2,10.4,0.8,"5,230",620,7.2,5.4,0.6,"5,527",597,6.6,5.8,0.6,"4,798",576,7.3,5.0,0.6,"5,603",660,7.2,5.8,0.7,"5,290",649,7.5,5.5,0.7,"2,005",366,11.1,2.1,0.4,"3,148",477,9.2,3.3,0.5,"16,540","1,122",4.1,17.2,1.1,"14,016",993,4.3,14.6,1.0,"9,402",893,5.8,9.8,0.9,"14,390","1,025",4.3,15.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDTA2020,CD,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),310,Brooklyn,"103,689","54,009","2,411",2.7,"73,544","2,320",1.9,"30,346",767,1.5,100,0,"62,360","3,641",3.5,"19,179",714,2.3,100,0,"41,062","3,249",4.8,,,"29,736","1,058",2.2,"30,346",767,1.5,100,0,"3,667",417,6.9,12.1,1.3,"124,832","2,518",1.2,100,0,"18,412","1,673",5.5,14.7,1.3,"24,074","1,133",2.9,100,0,"5,106",550,6.5,21.2,2.1,"19,026",831,2.7,100,0,"2,673",338,7.7,14.0,1.7,"124,832","2,518",1.2,100,0,"7,631",741,5.9,6.1,0.6,"4,793",589,7.5,3.8,0.5,"5,988",614,6.2,4.8,0.5,"6,471",663,6.2,5.2,0.5,"6,025",670,6.8,4.8,0.5,"4,228",515,7.4,3.4,0.4,"1,735",331,11.6,1.4,0.3,"4,635",674,8.8,3.7,0.5,"19,170","1,161",3.7,15.4,0.9,"15,352",963,3.8,12.3,0.7,"11,942",840,4.3,9.6,0.6,"36,862","1,412",2.3,29.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
